"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-17","64",,"55"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-18","63","72",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-19","50",,"46"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-20","55",,"49"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-21","59","69","48"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-22","46",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-23","49",,"44"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-24","45",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-25","48",,"43"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-26","59","68","48"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-27","56",,"50"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-28","50","58",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-29","45","49",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-30","50",,"39"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-31","59","72","45"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-01","63",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-02","55","63","48"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-03","55",,"47"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-04","55","66","45"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-05","59",,"47"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-06","60","76","51"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-07","54","60",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-08","53",,"51"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-09","56",,"48"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-10","58","71","49"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-11","60","70","54"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-12","65",,"57"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-13","63","78","54"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-14","55","67","48"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-15","58",,"51"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-16","59",,"49"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-17","58",,"51"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-18","56",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-19","60","75","48"
